"date","Plate.SN","well","DIV","trt","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20160921","MW1159-40","C6",5,"Mercuric chloride",1,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C6",7,"Mercuric chloride",1,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C6",9,"Mercuric chloride",1,"uM","ON_20160921_MW1159-40_09_00(000).h5",0.43833906096373,0.21,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.121551215422161,0.000162454701448628,1,""
"20160921","MW1159-40","C7",12,"Mercuric chloride",3,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C7",5,"Mercuric chloride",3,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C7",7,"Mercuric chloride",3,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C7",9,"Mercuric chloride",3,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C8",12,"Mercuric chloride",10,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C8",5,"Mercuric chloride",10,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C8",7,"Mercuric chloride",10,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","C8",9,"Mercuric chloride",10,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","D1",12,"Tributyltin methylacrylate",20,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","D1",5,"Tributyltin methylacrylate",20,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
