"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20220615","MW78-7303","B1","7126 C8","0.1002","uM","1","",11.692799,13.123125,0.307517,563.567925,6.995806,365.016737,111,89,105,96,2.652783,56.53297,436.999603,0.44152,739.705471,2.71381,0.103592
"20211110","MW78-6212","C1","7126 C8","0.1002","uM","0","(7126 C8) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",19.048109,15.727,0.835411,265.856167,14.524567,139.591267,38.5,17.5,3,21,0.257812,0.396896,395.775,0.059662,66.75,0.001583,0.000123
"20220615","MW78-7304","C1","7126 C8","0.1002","uM","1","",13.128822,19.918542,0.39006,550.840345,7.06095,325.098393,118.5,105,104,113.303922,3.843721,55.636346,392.043381,0.658678,653.310049,2.415804,0.082632
"20211124","MW78-6217","A1","7126 D7","0.1002","uM","1","Hot water shut off in building; ",23.610546,3.455333,0.070053,100.469167,1.428,79.6825,60.5,13.5,21,23.892857,0.195492,8.26087,95.019231,0.050029,148.607143,0.30941,0.002252
"20211124","MW78-6218","B1","7126 D7","0.1002","uM","1","Hot water shut off in building; ",10.468016,8.813304,0.681023,233.973125,22.270281,130.170187,80,38,36.5,62.357143,2.524705,10.573363,1496.87625,0.40597,449,0.552157,0.008399
"20211124","MW78-6219","C1","7126 D7","0.1002","uM","1","Hot water shut off in building; ",21.736564,22.663125,0.979022,272.519406,31.854859,261.88364,99,63,35.5,62.772727,1.900782,8.819135,55.514286,0.330682,295.727273,0.240808,0.014915
"20211124","MW78-6219","A1","7126 D8","0.1002","uM","1","Hot water shut off in building; ",26.355749,15.527679,0.44965,407.075129,52.728766,171.280756,104.5,66.5,98,55.321429,2.226272,19.83645,188.786023,1.180505,337.357143,1.056746,0.064945
"20211124","MW78-6217","B1","7126 D8","0.1002","uM","1","Hot water shut off in building; ",5.719713,4.741442,0.166945,176.035219,2.9015,173.77825,64.5,29,51.5,63.25,1.364755,33.737468,553.45525,0.139004,433.326923,1.07755,0.032211
"20211124","MW78-6218","C1","7126 D8","0.1002","uM","1","Hot water shut off in building; ",9.830053,11.30625,0.338445,339.580281,5.891625,172.344375,87.5,40.5,79,73.975,2.087238,29.731933,422.909615,0.573069,592.258333,1.249462,0.039613
"20211208","MW78-6305","A1","7126 E2","0.1002","uM","1","Hot water shut off in building; ",7.819016,24.540179,0.439099,293.098837,3.275394,131.584894,53,33.5,26.5,35.53125,1.098242,19.634226,63.69,0.115779,201.6875,0.307812,0.006902
"20211208","MW78-6303","B1","7126 E2","0.1002","uM","1","Hot water shut off in building; ",5.642012,10.642,0.292169,162.570042,2.633125,120.979667,53.5,25.5,42.5,57.075,0.572233,18.417537,530.594079,0.151305,240.325,0.199879,0.005796
"20211208","MW78-6304","C1","7126 E2","0.1002","uM","1","Hot water shut off in building; ",3.725226,9.470714,0.262129,170.265929,1.998964,156.855393,39.5,26,49.5,51.992754,0.523989,29.623626,423.542045,0.107417,167.297101,0.380995,0.006281
"20220119","MW78-6313","A1","7126 F3","0.1002","uM","1","",6.229098,8.215446,0.40681,349.149858,6.510307,323.090807,78,53.5,62,86.813333,1.328478,38.569844,314.7375,0.546531,497.646667,1.140309,0.029194
"20220119","MW78-6314","B1","7126 F3","0.1002","uM","1","",9.674097,11.082917,0.289243,336.613652,6.222433,273.425951,82,63,107,80.275,1.662601,42.038608,622.504314,1.322619,649.4,1.391268,0.058833
"20220119","MW78-6312","C1","7126 F3","0.1002","uM","1","",5.963406,6.44875,0.092164,339.478179,4.270719,314.984585,72.5,59,111.5,52.825448,1.010288,49.31296,159.928229,0.452249,317.088875,1.717016,0.046541
"20220223","MW78-7106","A1","7126 G1","0.1002","uM","1","",7.497518,3.28875,0.289165,148.6415,2.701125,172.106625,51,22,28,50.852941,1.48911,28.124518,80.71875,0.075744,241.529412,0.811875,0.020475
"20220223","MW78-7107","B1","7126 G1","0.1002","uM","1","",10.475044,7.48125,0.342549,215.226531,11.544938,149.871938,58,34,21,24,1.142077,13.174448,96.848077,0.294098,240.857143,0.546523,0.021271
