"date","plate.SN","well","treatment","dose","units","NHEERL_MEA_dev_firing_rate_mean","NHEERL_MEA_dev_burst_rate","NHEERL_MEA_dev_per_burst_interspike_interval","NHEERL_MEA_dev_per_burst_spike_percent","NHEERL_MEA_dev_burst_duration_mean","NHEERL_MEA_dev_interburst_interval_mean","NHEERL_MEA_dev_active_electrodes_number","NHEERL_MEA_dev_bursting_electrodes_number","NHEERL_MEA_dev_network_spike_number","NHEERL_MEA_dev_network_spike_peak","NHEERL_MEA_dev_spike_duration_mean","NHEERL_MEA_dev_per_network_spike_spike_percent","NHEERL_MEA_dev_per_network_spike_interspike_interval_mean","NHEERL_MEA_dev_network_spike_duration_std","NHEERL_MEA_dev_per_network_spike_spike_number_mean","NHEERL_MEA_dev_correlation_coefficient_mean","NHEERL_MEA_dev_mutual_information_norm"
"20140716","MW1007-26","F7","Sodium Orthovanadate","3.00000","uM",9.659579,14.373312,0.621048,213.697864,6.177788,303.721075,56.5,45.5,150.5,40.042129,0.787948,29.68331,197.324074,0.407428,145.956208,0.354377,0.01278
"20140205","MW1007-26","A7","Acetaminophen","30.00000","uM",7.297198,20.555625,0.22931,450.362885,2.99076,189.705385,100,85.5,518.5,77.628808,1.021364,130.132397,102.295305,0.371026,266.176651,1.771004,0.059591
"20140212","MW1007-27","A7","Acetaminophen","30.00000","uM",8.785789,19.922232,0.36219,389.053573,4.400812,141.135115,75.5,63.5,645,34.933845,0.453538,79.590984,48.005451,0.245047,109.974595,0.874978,0.032355
"20140402","MW1007-27","A7","Acetaminophen","30.00000","uM",10.319876,18.23125,0.316605,580.446696,4.913223,332.909232,106.5,102,262,99.753106,1.287425,102.381544,647.168478,0.449061,498.109472,2.402549,0.070513
"20140423","MW1007-38","A7","Acetaminophen","30.00000","uM",3.772894,9.741189,0.215167,289.192333,1.513556,282.046625,51,42.5,276,39.914729,0.56083,92.246762,81.124414,0.140073,113.29105,1.07879,0.019858
"20140716","MW1007-26","A7","Glyphosate","30.00000","uM",12.753602,26.745769,0.47553,394.85275,25.496125,149.703375,38.5,30,124.5,29.621795,0.481948,32.713302,642.575,0.129531,90.365385,0.360791,0.008684
"20140730","MW1007-104","B7","Glyphosate","30.00000","uM",8.907488,17.6,0.323173,389.426642,13.305362,182.081204,65,52,194,49.635977,0.847373,123.329038,659.673079,0.194993,165.377931,1.362766,0.020904
"20140716","MW1007-26","D7","Glyphosate","30.00000","uM",1.268256,4.208571,0.110463,315.009917,0.879417,226.8,48,38.5,131,50.181698,0.344778,220.450861,103.259774,0.0542,187.814324,2.120926,0.010822
"20140730","MW1007-104","E7","Glyphosate","30.00000","uM",3.216187,2.45,0.133662,175.102875,11.413062,129.095938,20,17.5,40,20.545977,0.259415,67.65892,347.647321,0.058914,55.387931,0.654529,0
"20140205","MW1007-26","D7","Loperamide","30.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
